SOC_g_kg,log_SOC,depth_bin
6.1,1.9600947840472698,0-20cm
3.4,1.4816045409242156,20-50cm
4.4,1.6863989535702288,20-50cm
2.7,1.308332819650179,50-100cm
20.4,3.0633909220278057,0-20cm
13.7,2.6878474937846906,20-50cm
10.1,2.4069451083182885,50-100cm
9.5,2.3513752571634776,0-20cm
3.6,1.5260563034950494,0-20cm
2.5,1.252762968495368,50-100cm
14.6,2.747270914255491,0-20cm
4.6,1.7227665977411035,0-20cm
1.3,0.832909122935104,20-50cm
2.7,1.308332819650179,0-20cm
1.3,0.832909122935104,20-50cm
0.8,0.5877866649021191,50-100cm
1.5,0.9162907318741551,>100cm
4.8,1.7578579175523736,0-20cm
4.4,1.6863989535702288,0-20cm
2.8,1.33500106673234,20-50cm
3.9,1.589235205116581,50-100cm
14.4,2.7343675094195836,0-20cm
8.9,2.2925347571405443,0-20cm
5.6,1.8870696490323797,20-50cm
23.3,3.190476350346503,0-20cm
15.7,2.8154087194227095,0-20cm
107.0,4.68213122712422,0-20cm
6.6,2.028148247292285,0-20cm
3.8,1.5686159179138452,0-20cm
2.5,1.252762968495368,20-50cm
4.3,1.667706820558076,50-100cm
8.7,2.272125885509337,0-20cm
5.5,1.8718021769015913,0-20cm
4.8,1.7578579175523736,50-100cm
0.7,0.5306282510621704,0-20cm
0.4,0.33647223662121295,0-20cm
0.3,0.26236426446749106,50-100cm
2.3,1.1939224684724346,0-20cm
0.2,0.18232155679395465,0-20cm
1.0,0.6931471805599453,20-50cm
35.2,3.5890591188317256,0-20cm
26.4,3.3105430133940246,0-20cm
33.0,3.5263605246161616,20-50cm
44.6,3.8199077165203406,50-100cm
58.4,4.084294226368599,50-100cm
29.4,3.414442608412176,50-100cm
22.2,3.1441522786722644,0-20cm
13.4,2.667228206581955,0-20cm
11.0,2.4849066497880004,20-50cm
9.3,2.33214389523559,20-50cm
17.9,2.9391619220655967,50-100cm
14.1,2.714694743820879,0-20cm
12.2,2.580216829592325,20-50cm
4.5,1.7047480922384253,20-50cm
3.4,1.4816045409242156,50-100cm
5.1,1.8082887711792655,50-100cm
10.5,2.4423470353692043,0-20cm
7.4,2.128231705849268,0-20cm
14.9,2.766319109226186,20-50cm
5.1,1.8082887711792655,50-100cm
4.0,1.6094379124341003,>100cm
12.7,2.617395832834079,0-20cm
2.4,1.2237754316221157,0-20cm
5.7,1.9021075263969205,20-50cm
6.7,2.0412203288596382,20-50cm
6.4,2.0014800002101243,20-50cm
5.5,1.8718021769015913,50-100cm
9.2,2.322387720290225,50-100cm
20.7,3.077312260546414,0-20cm
16.6,2.8678989020441064,0-20cm
3.9,1.589235205116581,20-50cm
4.2,1.6486586255873816,20-50cm
4.3,1.667706820558076,50-100cm
22.1,3.139832617527748,0-20cm
17.5,2.917770732084279,0-20cm
7.9,2.186051276738094,20-50cm
6.2,1.9740810260220096,20-50cm
5.9,1.9315214116032138,50-100cm
5.5,1.8718021769015913,50-100cm
13.0,2.6390573296152584,0-20cm
14.0,2.70805020110221,0-20cm
11.4,2.517696472610991,20-50cm
9.1,2.312535423847214,20-50cm
5.3,1.840549633397487,50-100cm
4.8,1.7578579175523736,>100cm
26.4,3.3105430133940246,0-20cm
10.9,2.4765384001174837,0-20cm
4.8,1.7578579175523736,20-50cm
3.8,1.5686159179138452,50-100cm
3.6,1.5260563034950494,50-100cm
2.1,1.1314021114911006,>100cm
15.6,2.8094026953624973,0-20cm
6.0,1.9459101490553132,0-20cm
7.1,2.0918640616783932,20-50cm
5.4,1.8562979903656263,20-50cm
5.8,1.916922612182061,50-100cm
14.2,2.7212954278522306,0-20cm
10.5,2.4423470353692043,20-50cm
5.7,1.9021075263969205,20-50cm
3.6,1.5260563034950494,20-50cm
6.1,1.9600947840472698,50-100cm
7.6,2.151762203259462,>100cm
19.0,2.995732273553991,0-20cm
12.6,2.6100697927420065,0-20cm
8.0,2.1972245773362196,20-50cm
5.8,1.916922612182061,50-100cm
3.8,1.5686159179138452,50-100cm
4.0,1.6094379124341003,>100cm
14.8,2.760009940032921,0-20cm
9.3,2.33214389523559,0-20cm
11.2,2.501435951739211,20-50cm
12.4,2.5952547069568657,50-100cm
12.6,2.6100697927420065,50-100cm
11.5,2.5257286443082556,50-100cm
10.4,2.4336133554004498,0-20cm
9.0,2.302585092994046,0-20cm
12.4,2.5952547069568657,20-50cm
11.0,2.4849066497880004,50-100cm
28.5,3.3843902633457743,0-20cm
25.5,3.2771447329921766,0-20cm
21.3,3.104586678466073,20-50cm
10.9,2.4765384001174837,20-50cm
12.8,2.624668592163159,50-100cm
21.0,3.091042453358316,0-20cm
16.7,2.8735646395797834,0-20cm
11.8,2.5494451709255714,20-50cm
4.6,1.7227665977411035,20-50cm
4.1,1.62924053973028,50-100cm
3.3,1.4586150226995167,50-100cm
11.9,2.5572273113676265,0-20cm
8.0,2.1972245773362196,0-20cm
4.5,1.7047480922384253,20-50cm
1.5,0.9162907318741551,20-50cm
1.1,0.7419373447293773,50-100cm
3.0,1.3862943611198906,>100cm
17.0,2.8903717578961645,0-20cm
12.4,2.5952547069568657,0-20cm
8.7,2.272125885509337,20-50cm
8.7,2.272125885509337,50-100cm
10.9,2.4765384001174837,50-100cm
16.0,2.833213344056216,0-20cm
13.1,2.6461747973841225,0-20cm
12.6,2.6100697927420065,20-50cm
33.0,3.5263605246161616,20-50cm
5.0,1.791759469228055,50-100cm
5.5,1.8718021769015913,50-100cm
13.3,2.6602595372658615,0-20cm
9.6,2.3608540011180215,0-20cm
3.5,1.5040773967762742,20-50cm
8.8,2.2823823856765264,20-50cm
5.7,1.9021075263969205,50-100cm
6.5,2.0149030205422647,50-100cm
24.7,3.246490991901174,0-20cm
11.1,2.4932054526026954,0-20cm
4.2,1.6486586255873816,20-50cm
3.4,1.4816045409242156,50-100cm
3.0,1.3862943611198906,>100cm
25.0,3.258096538021482,0-20cm
20.1,3.0492730404820207,0-20cm
18.6,2.975529566236472,20-50cm
16.0,2.833213344056216,20-50cm
6.6,2.028148247292285,50-100cm
2.7,1.308332819650179,50-100cm
20.9,3.086486636822455,0-20cm
14.6,2.747270914255491,20-50cm
9.5,2.3513752571634776,20-50cm
7.7,2.1633230256605382,50-100cm
11.3,2.509599262378372,0-20cm
6.0,1.9459101490553132,0-20cm
6.1,1.9600947840472698,20-50cm
6.1,1.9600947840472698,50-100cm
4.1,1.62924053973028,>100cm
29.6,3.4210000089583352,0-20cm
13.1,2.6461747973841225,0-20cm
6.5,2.0149030205422647,20-50cm
3.8,1.5686159179138452,20-50cm
2.8,1.33500106673234,50-100cm
1.8,1.0296194171811583,>100cm
14.8,2.760009940032921,0-20cm
13.3,2.6602595372658615,0-20cm
13.9,2.7013612129514133,50-100cm
7.4,2.128231705849268,50-100cm
4.8,1.7578579175523736,>100cm
4.2,1.6486586255873816,>100cm
18.9,2.990719731730447,0-20cm
8.1,2.2082744135228043,0-20cm
5.5,1.8718021769015913,50-100cm
5.3,1.840549633397487,>100cm
3.7,1.547562508716013,>100cm
14.1,2.714694743820879,0-20cm
8.2,2.2192034840549946,0-20cm
6.6,2.028148247292285,20-50cm
6.0,1.9459101490553132,50-100cm
13.4,2.667228206581955,0-20cm
4.9,1.7749523509116738,0-20cm
2.7,1.308332819650179,20-50cm
1.8,1.0296194171811583,50-100cm
15.7,2.8154087194227095,0-20cm
10.7,2.4595888418037104,0-20cm
9.5,2.3513752571634776,20-50cm
7.9,2.186051276738094,50-100cm
12.3,2.5877640352277083,0-20cm
17.9,2.9391619220655967,20-50cm
8.2,2.2192034840549946,20-50cm
4.9,1.7749523509116738,50-100cm
2.1,1.1314021114911006,>100cm
39.1,3.6913763343125234,0-20cm
12.8,2.624668592163159,20-50cm
5.9,1.9315214116032138,50-100cm
4.3,1.667706820558076,>100cm
3.3,1.4586150226995167,>100cm
14.8,2.760009940032921,0-20cm
9.3,2.33214389523559,0-20cm
6.3,1.9878743481543455,20-50cm
4.2,1.6486586255873816,50-100cm
8.5,2.2512917986064953,0-20cm
5.9,1.9315214116032138,20-50cm
2.9,1.3609765531356006,50-100cm
2.5,1.252762968495368,>100cm
6.2,1.9740810260220096,0-20cm
4.1,1.62924053973028,0-20cm
3.7,1.547562508716013,20-50cm
3.0,1.3862943611198906,50-100cm
5.6,1.8870696490323797,0-20cm
2.8,1.33500106673234,0-20cm
0.8,0.5877866649021191,20-50cm
5.1,1.8082887711792655,0-20cm
23.7,3.2068032436339315,0-20cm
14.3,2.72785282839839,0-20cm
4.3,1.667706820558076,20-50cm
2.0,1.0986122886681098,20-50cm
14.2,2.7212954278522306,0-20cm
7.8,2.174751721484161,0-20cm
3.6,1.5260563034950494,20-50cm
2.7,1.308332819650179,50-100cm
6.2,1.9740810260220096,0-20cm
2.1,1.1314021114911006,0-20cm
1.3,0.832909122935104,20-50cm
1.5,0.9162907318741551,50-100cm
0.9,0.6418538861723948,50-100cm
18.7,2.9806186357439426,0-20cm
10.7,2.4595888418037104,0-20cm
11.2,2.501435951739211,20-50cm
11.3,2.509599262378372,20-50cm
30.6,3.4531571205928664,0-20cm
30.8,3.459466289786131,0-20cm
21.1,3.095577608523707,20-50cm
4.1,1.62924053973028,50-100cm
45.3,3.835141961092188,0-20cm
44.3,3.8133070324889884,0-20cm
33.9,3.5524868292083815,20-50cm
4.5,1.7047480922384253,50-100cm
12.5,2.6026896854443837,0-20cm
10.1,2.4069451083182885,0-20cm
2.6,1.2809338454620642,20-50cm
10.4,2.4336133554004498,50-100cm
18.5,2.970414465569701,0-20cm
10.9,2.4765384001174837,0-20cm
2.4,1.2237754316221157,20-50cm
4.8,1.7578579175523736,50-100cm
15.3,2.791165107812717,0-20cm
