cv_type,seed,fold,model,n_train,n_test,R2_all,RMSE_all,MAE_all,R2_surface,RMSE_surface,R2_deep,RMSE_deep,R2_0-20cm,RMSE_0-20cm,R2_20-50cm,RMSE_20-50cm,R2_50-100cm,RMSE_50-100cm,R2_>100cm,RMSE_>100cm
Spatial_block,42,4,Mean,15956,3988,-0.028470204137956756,0.8217985063489454,0.6557685997343548,-0.7893537944837707,0.9145139162288198,-0.017345159222438067,0.7708196835041868,-0.427170090748352,0.8792682029697555,-3.4273410625784706e-05,0.7240451832724916,-0.2178670546095438,0.7809349786348003,-0.6637824185296726,0.8365351791763376
Spatial_block,42,4,LinearReg,15956,3988,0.47273982208035736,0.588412616861715,0.45190131445199305,0.41650080357463326,0.5222306297802654,0.34370033580039216,0.6191127183188313,0.4116944376318201,0.5645273373011498,0.3487447739557401,0.584297243072255,0.1989689811128187,0.6333439137531207,0.04640318157126999,0.6333129092028451
Spatial_block,42,4,Ridge,15956,3988,0.47239382256764095,0.5886056497305645,0.4526772133707393,0.41086235301657237,0.5247477645894072,0.3453908823793608,0.6183148253611156,0.40796125848315523,0.5663156502557793,0.3487060214000065,0.5843146269440014,0.20165092632872172,0.6322827701788055,0.06705285591296906,0.6264183390911631
Spatial_block,42,4,RF,15956,3988,0.5727214667247772,0.5296939682302712,0.39148061053839084,0.5124730358793704,0.47735505900535535,0.4740736347845713,0.5542186118110352,0.5427925578783152,0.4976684917617729,0.4312369063952032,0.5460393366149354,0.31332226933127316,0.5863965629701038,0.38874017829487595,0.5070477607518833
Spatial_block,42,4,XGBoost,15956,3988,0.5648140334434145,0.5345728913911785,0.40025763261373626,0.49743294499671664,0.48466227561453923,0.46676940495103836,0.5580539219331004,0.5351981107738008,0.5017847317649001,0.4131384440693575,0.5546589904445407,0.3052708541652077,0.5898243449822197,0.38640285966211074,0.508016253509537
Random_5fold,20260725,0,Mean,15955,3989,-0.0010805367358364126,0.8349061720533999,0.6731771778574263,-0.44432270175532596,0.9138110759117426,-0.10429002317552083,0.800392173118903,-0.2267004718395209,0.8833179067563522,-0.06175233485351206,0.7459225909916748,-0.5434566178096898,0.8344275698460972,-0.8796173009825192,0.8414824617092425
Random_5fold,20260725,0,LinearReg,15955,3989,0.5207131552434902,0.5776980706439945,0.4405414547893451,0.5341543340037611,0.5189736747769468,0.3793110038445747,0.6000649799544887,0.5270593745375494,0.5484677286242805,0.3303030814755782,0.5924085233271658,0.1804416676913152,0.6080389023724607,0.03841624838701985,0.6018716815485154
Random_5fold,20260725,0,Ridge,15955,3989,0.5216896271431393,0.5771092859203213,0.4408642073458301,0.5302532834145168,0.5211421201630697,0.3825527526617507,0.5984959119165975,0.5243553618762095,0.5500334112987946,0.33168174251266846,0.5917984329287006,0.18196290531703063,0.6074743292090066,0.09135174659726386,0.5850705659331924
Random_5fold,20260725,0,RF,15955,3989,0.7027463456604536,0.45495324172005186,0.33675665483936007,0.7073905083325136,0.41130927574908044,0.6165538367983336,0.4716430694810573,0.7018149754979598,0.43550253034522796,0.5741007713901858,0.4724279403607935,0.49551105063452316,0.47705369075454573,0.5220532014221199,0.42432647575983673
Random_5fold,20260725,0,XGBoost,15955,3989,0.7248403094037532,0.43771917188387266,0.3262441409605642,0.7258548655470037,0.3981205268272351,0.6463931450320497,0.4529201022051165,0.7248340837397813,0.41835511930658736,0.6190019966549464,0.4468312079905313,0.5160269377069802,0.4672529222445761,0.5441059595686581,0.4144215296294723
Random_5fold,20260725,1,Mean,15955,3989,-0.003164255090878587,0.8355465960380507,0.6666060721374206,-0.5733612034034536,0.9348346599785249,-0.05012293930297229,0.7896738325064205,-0.2791240131841246,0.9132255905597869,-0.017598521306996684,0.7325006396481345,-0.40355366795647574,0.7752100355190834,-0.5794187396863955,0.8747526769647568
Random_5fold,20260725,1,LinearReg,15955,3989,0.5353769851789978,0.5686368614345979,0.44122059755666704,0.5123611391136713,0.5204388895063666,0.4179872802723793,0.5878870752938751,0.5389538595068954,0.5482693173069192,0.3628385147010831,0.579621561651207,0.2692776192375389,0.5593466986251516,-0.03591675345066059,0.7084334602624341
Random_5fold,20260725,1,Ridge,15955,3989,0.5318097989686332,0.570815568697397,0.4423674577107679,0.5091928993753728,0.5221268247187854,0.4132904481091245,0.5902544278213583,0.5364362587382185,0.5497642262797832,0.36324853981682337,0.5794350330785925,0.27082196761716903,0.5587553091401304,-0.11283881664178241,0.7342649027653716
Random_5fold,20260725,1,RF,15955,3989,0.708075466262557,0.45073361411254725,0.33819346011217044,0.6824532185650275,0.4199759731282491,0.638746997949539,0.46316251835909067,0.716293873650913,0.4300867903191428,0.5797875902840088,0.470710852780767,0.49747206874081085,0.46385792111211205,0.5559545326910755,0.46382094622526476
Random_5fold,20260725,1,XGBoost,15955,3989,0.7296358385371209,0.4337696989838891,0.3293361883700127,0.7011164408737927,0.4074474466562525,0.6673278071677061,0.4444633186828161,0.7400044741982057,0.4117225785274354,0.620110777506543,0.44755690409983334,0.5174230396865156,0.4545568075856845,0.5697731654378559,0.45654688557746453
Random_5fold,20260725,2,Mean,15955,3989,-4.0308640958386377e-07,0.8213259293278411,0.6562138744932804,-0.4976119979834286,0.9036758795580664,-0.07685485712855544,0.7858276877633387,-0.26930495243377806,0.8561549046324346,-0.0647922201012141,0.7331809305886908,-0.33706663499281797,0.8286964917453333,-0.8427485434832558,0.899003720834844
Random_5fold,20260725,2,LinearReg,15955,3989,0.5066991025539263,0.5768612929150881,0.44467593567069763,0.44789801685307795,0.548684496034951,0.39749866628971753,0.5877975171689219,0.4595772429186895,0.5586453344321874,0.3513061226342322,0.5722668981894169,0.27638359336927254,0.609639610624868,0.1646775881201593,0.6052788764644257
Random_5fold,20260725,2,Ridge,15955,3989,0.5064849191879026,0.576986511301769,0.4452214763438296,0.44495129917945153,0.5501467862819107,0.398270851422434,0.5874207262796698,0.45742525595967143,0.5597565043773295,0.35210521969456854,0.5719143145365391,0.278627922347533,0.6086934640280539,0.16647475783515753,0.6046274067046662
Random_5fold,20260725,2,RF,15955,3989,0.6862093667367631,0.46008220292466184,0.34405078609890893,0.6552146977693869,0.4335981366301686,0.6142990252005097,0.47029905840057684,0.6668361754861076,0.4386299487849355,0.580853039884232,0.4600042948773984,0.5236572692208306,0.49462805484601197,0.4680940277096167,0.4829986136907151
Random_5fold,20260725,2,XGBoost,15955,3989,0.7141771609229415,0.43910047874004665,0.3305663839046152,0.6779500760092452,0.41905848213967495,0.6517293016266175,0.4468967634472457,0.6983763061080723,0.41735160581230096,0.6315475284697125,0.4312900740669058,0.5550523153550899,0.4780501403924816,0.47614714648715417,0.47932834079904035
Random_5fold,20260725,3,Mean,15955,3989,-0.00041645041379578807,0.8232304509696329,0.658032281703466,-0.4898446226092861,0.9294529127399811,-0.09814994315430225,0.7776041729343055,-0.24559677055310747,0.8796761502214079,-0.06415815456528762,0.713076577311435,-0.42357246597469556,0.821835277487006,-1.3632356075095977,0.8611600771161608
Random_5fold,20260725,3,LinearReg,15955,3989,0.5190574753339132,0.5707916399350591,0.4423088953210004,0.5227764879806662,0.5260388505604994,0.3733285275526895,0.587418639825244,0.5029521218511271,0.555690782294601,0.3080577498448963,0.5750002153533903,0.2338605245275034,0.6029050336209492,0.11337331937024187,0.5274736571706059
Random_5fold,20260725,3,Ridge,15955,3989,0.5183469233185134,0.5712131325650365,0.44302753789854105,0.5174012512751045,0.5289930906910096,0.3743321232606551,0.5869480846222064,0.4995316749494346,0.5575995039230327,0.3085595699051832,0.5747916726768818,0.23644181680227916,0.6018885168991943,0.1192360087733021,0.5257268434925706
