Samples,Profile,Latitude,Longitude,Upper_depth_cm,Lower_depth_cm,SOC_g_kg,pH,CLCD,Time,log_SOC,is_surface,grid_lat,grid_lon,grid_id,depth_bin
84,19,20.56472222,110.0733333,19,38,13.5,6.6,Cropland,2014,2.6741486494265287,0,4,22,4022,0-20cm
85,19,20.56472222,110.0733333,38,56,8.8,6.7,Cropland,2014,2.2823823856765264,0,4,22,4022,20-50cm
86,19,20.56472222,110.0733333,56,100,6.2,6.9,Cropland,2014,1.9740810260220096,0,4,22,4022,50-100cm
87,19,20.56472222,110.0733333,100,110,4.8,7.1,Cropland,2014,1.7578579175523736,0,4,22,4022,>100cm
88,20,21.12527778,110.0255556,0,11,23.5,6.0,Cropland,2014,3.1986731175506815,1,4,22,4022,0-20cm
89,20,21.12527778,110.0255556,11,20,16.6,5.9,Cropland,2014,2.8678989020441064,0,4,22,4022,0-20cm
90,20,21.12527778,110.0255556,20,39,15.9,6.0,Cropland,2014,2.827313621929028,0,4,22,4022,20-50cm
91,20,21.12527778,110.0255556,39,60,5.9,6.0,Cropland,2014,1.9315214116032138,0,4,22,4022,20-50cm
92,20,21.12527778,110.0255556,60,91,1.8,5.1,Cropland,2014,1.0296194171811583,0,4,22,4022,50-100cm
93,20,21.12527778,110.0255556,91,113,2.0,4.8,Cropland,2014,1.0986122886681098,0,4,22,4022,50-100cm
94,21,20.58333333,110.0666667,0,30,22.5,5.9,Cropland,2014,3.1570004211501135,1,4,22,4022,0-20cm
95,21,20.58333333,110.0666667,30,42,14.7,5.8,Cropland,2014,2.7536607123542622,0,4,22,4022,20-50cm
96,21,20.58333333,110.0666667,42,68,9.3,5.6,Cropland,2014,2.33214389523559,0,4,22,4022,20-50cm
97,21,20.58333333,110.0666667,68,102,6.5,5.8,Cropland,2014,2.0149030205422647,0,4,22,4022,50-100cm
98,21,20.58333333,110.0666667,102,117,5.5,5.4,Cropland,2014,1.8718021769015913,0,4,22,4022,>100cm
99,22,21.69944444,110.1086111,0,6,17.1,4.8,Cropland,2014,2.89591193827178,1,4,22,4022,0-20cm
100,22,21.69944444,110.1086111,6,30,15.7,4.6,Cropland,2014,2.8154087194227095,0,4,22,4022,0-20cm
101,22,21.69944444,110.1086111,30,70,12.8,4.6,Cropland,2014,2.624668592163159,0,4,22,4022,20-50cm
102,22,21.69944444,110.1086111,70,110,10.1,4.8,Cropland,2014,2.4069451083182885,0,4,22,4022,50-100cm
103,23,20.90055556,110.0586111,0,10,10.2,4.5,Forest,2014,2.4159137783010487,1,4,22,4022,0-20cm
104,23,20.90055556,110.0586111,10,44,6.5,4.6,Forest,2014,2.0149030205422647,0,4,22,4022,0-20cm
105,23,20.90055556,110.0586111,44,124,7.0,5.0,Forest,2014,2.0794415416798357,0,4,22,4022,20-50cm
106,23,20.90055556,110.0586111,124,150,6.6,5.8,Forest,2014,2.028148247292285,0,4,22,4022,>100cm
107,24,21.19777778,109.9175,0,15,8.2,4.9,Cropland,2014,2.2192034840549946,1,4,21,4021,0-20cm
108,24,21.19777778,109.9175,15,45,4.6,4.2,Cropland,2014,1.7227665977411035,0,4,21,4021,0-20cm
109,24,21.19777778,109.9175,45,75,6.2,4.1,Cropland,2014,1.9740810260220096,0,4,21,4021,20-50cm
110,24,21.19777778,109.9175,75,94,3.0,4.0,Cropland,2014,1.3862943611198906,0,4,21,4021,50-100cm
111,24,21.19777778,109.9175,94,120,2.4,4.2,Cropland,2014,1.2237754316221157,0,4,21,4021,50-100cm
112,25,20.34305556,110.0758333,0,11,17.5,5.9,Cropland,2014,2.917770732084279,1,4,22,4022,0-20cm
113,25,20.34305556,110.0758333,11,24,14.6,6.4,Cropland,2014,2.747270914255491,0,4,22,4022,0-20cm
114,25,20.34305556,110.0758333,24,46,7.6,6.6,Cropland,2014,2.151762203259462,0,4,22,4022,20-50cm
115,25,20.34305556,110.0758333,46,70,3.3,6.9,Cropland,2014,1.4586150226995167,0,4,22,4022,20-50cm
116,26,21.90111111,108.5105833,0,12,42.9,3.9,Cropland,2014,3.7819143200811256,1,4,21,4021,0-20cm
117,26,21.90111111,108.5105833,12,25,24.9,3.4,Cropland,2014,3.254242968705492,0,4,21,4021,0-20cm
118,26,21.90111111,108.5105833,25,39,41.2,3.0,Cropland,2014,3.742420221041966,0,4,21,4021,20-50cm
119,26,21.90111111,108.5105833,39,61,29.0,2.8,Cropland,2014,3.4011973816621555,0,4,21,4021,20-50cm
120,26,21.90111111,108.5105833,61,110,20.8,2.9,Cropland,2014,3.0819099697950434,0,4,21,4021,50-100cm
121,27,21.80713889,108.4816389,0,13,25.5,4.5,Cropland,2014,3.2771447329921766,1,4,21,4021,0-20cm
122,27,21.80713889,108.4816389,13,23,7.9,4.1,Cropland,2014,2.186051276738094,0,4,21,4021,0-20cm
123,27,21.80713889,108.4816389,23,45,9.4,3.6,Cropland,2014,2.341805806147327,0,4,21,4021,20-50cm
124,27,21.80713889,108.4816389,45,100,11.9,3.2,Cropland,2014,2.5572273113676265,0,4,21,4021,20-50cm
125,28,21.72825,108.0735278,0,18,19.5,4.6,Cropland,2014,3.0204248861443626,1,4,21,4021,0-20cm
126,28,21.72825,108.0735278,18,28,9.6,4.8,Cropland,2014,2.3608540011180215,0,4,21,4021,0-20cm
127,28,21.72825,108.0735278,28,58,2.6,5.0,Cropland,2014,1.2809338454620642,0,4,21,4021,20-50cm
128,28,21.72825,108.0735278,58,100,2.8,5.3,Cropland,2014,1.33500106673234,0,4,21,4021,50-100cm
129,29,22.19638889,108.7785,0,18,12.8,4.4,Cropland,2014,2.624668592163159,1,4,21,4021,0-20cm
130,29,22.19638889,108.7785,18,28,7.3,4.7,Cropland,2014,2.1162555148025524,0,4,21,4021,0-20cm
131,29,22.19638889,108.7785,28,40,3.2,4.5,Cropland,2014,1.4350845252893227,0,4,21,4021,20-50cm
132,29,22.19638889,108.7785,40,63,5.1,4.6,Cropland,2014,1.8082887711792655,0,4,21,4021,20-50cm
133,29,22.19638889,108.7785,63,112,4.0,4.5,Cropland,2014,1.6094379124341003,0,4,21,4021,50-100cm
134,30,22.20433333,107.2082222,0,12,23.3,5.7,Cropland,2014,3.190476350346503,1,4,21,4021,0-20cm
135,30,22.20433333,107.2082222,12,21,16.4,6.5,Cropland,2014,2.856470206220483,0,4,21,4021,0-20cm
136,30,22.20433333,107.2082222,21,51,3.7,7.4,Cropland,2014,1.547562508716013,0,4,21,4021,20-50cm
137,30,22.20433333,107.2082222,51,84,2.9,7.7,Cropland,2014,1.3609765531356006,0,4,21,4021,50-100cm
138,30,22.20433333,107.2082222,84,103,2.0,7.6,Cropland,2014,1.0986122886681098,0,4,21,4021,50-100cm
139,31,22.19002778,108.8049167,0,10,17.2,4.5,Cropland,2014,2.9014215940827497,1,4,21,4021,0-20cm
140,31,22.19002778,108.8049167,10,18,16.2,4.6,Cropland,2014,2.8449093838194073,0,4,21,4021,0-20cm
141,31,22.19002778,108.8049167,18,40,8.5,4.8,Cropland,2014,2.2512917986064953,0,4,21,4021,0-20cm
142,31,22.19002778,108.8049167,40,55,5.8,4.8,Cropland,2014,1.916922612182061,0,4,21,4021,20-50cm
143,32,22.83552778,108.0266667,0,16,24.6,5.6,Cropland,2014,3.242592351485517,1,4,21,4021,0-20cm
144,32,22.83552778,108.0266667,16,29,6.8,7.3,Cropland,2014,2.0541237336955462,0,4,21,4021,0-20cm
145,32,22.83552778,108.0266667,29,42,9.6,7.4,Cropland,2014,2.3608540011180215,0,4,21,4021,20-50cm
146,32,22.83552778,108.0266667,42,69,10.0,7.2,Cropland,2014,2.3978952727983707,0,4,21,4021,20-50cm
147,32,22.83552778,108.0266667,69,94,7.0,7.0,Cropland,2014,2.0794415416798357,0,4,21,4021,50-100cm
148,33,22.08263889,109.9991667,0,10,14.8,5.2,Cropland,2014,2.760009940032921,1,4,21,4021,0-20cm
149,33,22.08263889,109.9991667,10,20,3.6,5.5,Cropland,2014,1.5260563034950494,0,4,21,4021,0-20cm
150,33,22.08263889,109.9991667,20,36,2.3,5.9,Cropland,2014,1.1939224684724346,0,4,21,4021,20-50cm
151,33,22.08263889,109.9991667,36,66,1.5,6.0,Cropland,2014,0.9162907318741551,0,4,21,4021,20-50cm
152,33,22.08263889,109.9991667,66,100,1.4,6.3,Cropland,2014,0.8754687373538999,0,4,21,4021,50-100cm
153,34,21.63636111,108.7865,0,11,14.2,5.1,Cropland,2014,2.7212954278522306,1,4,21,4021,0-20cm
154,34,21.63636111,108.7865,11,20,6.1,7.1,Cropland,2014,1.9600947840472698,0,4,21,4021,0-20cm
155,34,21.63636111,108.7865,20,40,2.7,7.2,Cropland,2014,1.308332819650179,0,4,21,4021,20-50cm
156,34,21.63636111,108.7865,40,53,2.0,7.7,Cropland,2014,1.0986122886681098,0,4,21,4021,20-50cm
157,34,21.63636111,108.7865,53,100,3.7,7.0,Cropland,2014,1.547562508716013,0,4,21,4021,50-100cm
158,35,21.72663889,109.2911111,0,11,26.2,6.0,Cropland,2014,3.3032169733019514,1,4,21,4021,0-20cm
159,35,21.72663889,109.2911111,11,20,27.6,5.8,Cropland,2014,3.353406717825807,0,4,21,4021,0-20cm
160,35,21.72663889,109.2911111,20,52,75.4,4.7,Cropland,2014,4.335982696172475,0,4,21,4021,20-50cm
161,35,21.72663889,109.2911111,52,72,32.9,4.7,Cropland,2014,3.5234150143864045,0,4,21,4021,50-100cm
162,35,21.72663889,109.2911111,72,90,3.1,4.7,Cropland,2014,1.410986973710262,0,4,21,4021,50-100cm
163,36,22.48238889,107.4819167,0,13,21.8,5.5,Cropland,2014,3.126760535960395,1,4,21,4021,0-20cm
164,36,22.48238889,107.4819167,13,22,16.5,5.6,Cropland,2014,2.8622008809294686,0,4,21,4021,0-20cm
165,36,22.48238889,107.4819167,22,42,8.5,5.6,Cropland,2014,2.2512917986064953,0,4,21,4021,20-50cm
166,36,22.48238889,107.4819167,42,66,5.9,5.6,Cropland,2014,1.9315214116032138,0,4,21,4021,20-50cm
167,36,22.48238889,107.4819167,66,100,6.1,5.7,Cropland,2014,1.9600947840472698,0,4,21,4021,50-100cm
168,37,22.80183333,108.0042778,0,16,18.9,6.6,Cropland,2014,2.990719731730447,1,4,21,4021,0-20cm
169,37,22.80183333,108.0042778,16,30,7.3,7.3,Cropland,2014,2.1162555148025524,0,4,21,4021,0-20cm
170,37,22.80183333,108.0042778,30,52,6.3,7.0,Cropland,2014,1.9878743481543455,0,4,21,4021,20-50cm
171,37,22.80183333,108.0042778,52,100,6.0,5.7,Cropland,2014,1.9459101490553132,0,4,21,4021,50-100cm
172,38,22.05055556,107.0165278,0,16,13.5,5.0,Cropland,2014,2.6741486494265287,1,4,21,4021,0-20cm
173,38,22.05055556,107.0165278,16,27,5.7,6.2,Cropland,2014,1.9021075263969205,0,4,21,4021,0-20cm
174,38,22.05055556,107.0165278,27,50,4.6,6.7,Cropland,2014,1.7227665977411035,0,4,21,4021,20-50cm
175,38,22.05055556,107.0165278,50,84,2.6,7.0,Cropland,2014,1.2809338454620642,0,4,21,4021,50-100cm
176,38,22.05055556,107.0165278,84,120,2.1,6.7,Cropland,2014,1.1314021114911006,0,4,21,4021,50-100cm
177,39,22.32686111,107.4404167,0,10,25.1,4.9,Cropland,2014,3.261935314328648,1,4,21,4021,0-20cm
178,39,22.32686111,107.4404167,10,20,21.0,6.2,Cropland,2014,3.091042453358316,0,4,21,4021,0-20cm
179,39,22.32686111,107.4404167,20,56,6.7,7.3,Cropland,2014,2.0412203288596382,0,4,21,4021,20-50cm
180,39,22.32686111,107.4404167,56,105,1.5,7.2,Cropland,2014,0.9162907318741551,0,4,21,4021,50-100cm
181,40,22.21425,110.0000833,0,16,21.3,7.5,Cropland,2014,3.104586678466073,1,4,22,4022,0-20cm
182,40,22.21425,110.0000833,16,26,18.6,7.6,Cropland,2014,2.975529566236472,0,4,22,4022,0-20cm
